공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
오리뜰,어린이공원,경기도 수원시 장안구 정자동 600-2,경기도 수원시 장안구 정자동 600-2,37.306188,126.985309,1500.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
재간령,어린이공원,경기도 수원시 권선구 경수대로235번길 68-4,경기도 수원시 권선구 세류동 1135,37.249517,127.014315,1496.6,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제71호 소공원,소공원,경기도 수원시 권선구 권선동 1345-69,경기도 수원시 권선구 권선동 1345-69,37.240354,127.020097,523.2,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
풀잎,어린이공원,경기도 수원시 권선구 금곡동 66-1,경기도 수원시 권선구 금곡동 66-1,37.278337,126.951866,1837,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
붐붐공원,어린이공원,경기도 수원시 영통구 이의동 1343,경기도 수원시 영통구 이의동 1343,37.286074,127.052541,3083.5,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
꿈틀이공원,어린이공원,경기도 수원시 영통구 원천동 581,경기도 수원시 영통구 원천동 581,37.277302,127.050163,1602,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
동물놀이공원,어린이공원,경기도 수원시 영통구 원천동 612,경기도 수원시 영통구 원천동 612,37.274436,127.052795,1618.6,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
신호등공원,어린이공원,경기도 수원시 영통구 하동 978,경기도 수원시 영통구 하동 978,37.291856,127.070314,1835.2,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
고래등공원,어린이공원,경기도 수원시 영통구 이의동 1273-1,경기도 수원시 영통구 이의동 1273-1,37.297866,127.043608,2104.7,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
소문(제143호),어린이공원,경기도 수원시 영통구 망포동 390-1,경기도 수원시 영통구 망포동 390-1,37.239891,127.057324,1853,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
백설,어린이공원,경기도 수원시 장안구 정자천로133번길 26,경기도 수원시 장안구 정자동 879-1,37.295135,126.991113,2999.9,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
탑동,근린공원,경기도 수원시 권선구 탑동로57번길 35,경기도 수원시 권선구 탑동 746-1,37.273118,126.972071,14574,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
청소년문화,근린공원,경기도 수원시 팔달구 인계동 349,경기도 수원시 팔달구 인계동 349,37.271285,127.034153,97000,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
매봉,근린공원,경기도 수원시 영통구 동탄원천로1109번길 61,경기도 수원시 영통구 매탄동 1210,37.269616,127.055061,23673,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
매화,근린공원,경기도 수원시 영통구 매탄3동 1311,경기도 수원시 영통구 매탄3동 1311,37.261949,127.049079,17556,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
영흥,근린공원,경기도 수원시 영통구 원천동 303,경기도 수원시 영통구 원천동 303,37.265059,127.070471,62862,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
황골,근린공원,경기도 수원시 영통구 영통로 530,경기도 수원시 영통구 영통1동 948-2,37.266319,127.078322,15013,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
열림,근린공원,경기도 수원시 영통구 웰빙타운로 73,경기도 수원시 영통구 이의동 1183,37.305342,127.042818,153129,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
솔내,근린공원,경기도 수원시 영통구 이의동 1215,경기도 수원시 영통구 이의동 1215,37.308096,127.051022,24489,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
연암,근린공원,경기도 수원시 영통구 이의동 1288,경기도 수원시 영통구 이의동 1288,37.292768,127.039432,128879,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
혜령,근린공원,경기도 수원시 영통구 에듀타운로 91,경기도 수원시 영통구 이의동 1354,37.288268,127.045235,203138,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
사색,근린공원,경기도 수원시 영통구 원천동 588,경기도 수원시 영통구 원천동 588,37.282357,127.054816,264933,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
역사,근린공원,경기도 수원시 영통구 이의동 13-88,경기도 수원시 영통구 이의동 13-88,37.297534,127.053329,131972,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
광교호수,근린공원,경기도 수원시 영통구 하동 1023,경기도 수원시 영통구 하동 1023,37.274992,127.065266,2025418,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
장우,어린이공원,경기도 수원시 장안구 파장동 593-4,경기도 수원시 장안구 파장동 593-4,37.307314,126.996688,2675.7,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
소정,어린이공원,경기도 수원시 장안구 파장로22번길 30,경기도 수원시 장안구 파장동 603-7,37.305584,126.999031,4840.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
석산,어린이공원,경기도 수원시 장안구 금당로38번길 7,경기도 수원시 장안구 조원동 731,37.303101,127.015615,1556,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
다람쥐,어린이공원,경기도 수원시 장안구 조원로111번길 33-23,경기도 수원시 장안구 조원동 758-4,37.300162,127.014135,1647.6,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
연무,어린이공원,경기도 수원시 장안구 창훈로39번길 4,경기도 수원시 장안구 연무동 214-6,37.296152,127.030141,1621,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
쪽박산,어린이공원,경기도 수원시 장안구 경수대로754번길 59,경기도 수원시 장안구 연무동 252-1,37.293183,127.023783,1667.5,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
정자,어린이공원,경기도 수원시 장안구 송정로60번길 10-23,경기도 수원시 장안구 정자동 35-22,37.295528,127.002567,3238,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
영화,어린이공원,경기도 수원시 장안구 수성로340번길 30,경기도 수원시 장안구 영화동 352,37.291325,127.009924,5110.7,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
금당,어린이공원,경기도 수원시 장안구 금당로39번길 34,경기도 수원시 장안구 조원동 861,37.304389,127.017808,2150,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
하늘,어린이공원,경기도 수원시 장안구 천천동 551-16,경기도 수원시 장안구 천천동 551-16,37.303686,126.975695,3274.5,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
샘터,어린이공원,경기도 수원시 장안구 정자로20번길 10,경기도 수원시 장안구 천천동 505-1,37.299671,126.979066,1863.2,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
초록,어린이공원,경기도 수원시 장안구 천천로74번길 50,경기도 수원시 장안구 정자동 937,37.299178,126.986718,2204.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
청솔,어린이공원,경기도 수원시 장안구 만석로20번길 28,경기도 수원시 장안구 정자동 919,37.293858,126.984409,2000.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
장승배기,어린이공원,경기도 수원시 권선구 세지로42번길 25-8,경기도 수원시 권선구 세류동 1086,37.255921,127.017923,1497.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제162호,어린이공원,경기도 수원시 권선구 고색동 916,경기도 수원시 권선구 고색동 916,37.246942,126.978928,1433.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
여우별,어린이공원,경기도 수원시 권선구 오목천동 958,경기도 수원시 권선구 오목천동 958,37.245026,126.968113,755.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
150호(무지개),어린이공원,경기도 수원시 권선구 권선동 1035-2,경기도 수원시 권선구 권선동 1035-2,37.257747,127.025278,2367.7,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
어공7호,어린이공원,경기도 수원시 권선구 권선동 1273,경기도 수원시 권선구 권선동 1273,37.249837,127.032106,1624.7,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
상록,어린이공원,경기도 수원시 권선구 권선동 1307,경기도 수원시 권선구 권선동 1307,37.250027,127.037854,3455.2,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
곡반정,어린이공원,경기도 수원시 권선구 곡반정동 541,경기도 수원시 권선구 곡반정동 541,37.241163,127.031074,1495.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
소담,어린이공원,경기도 수원시 영통구 태장로 84,경기도 수원시 영통구 망포동 544-11,37.238966,127.055529,900,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제17호 소공원(송원),소공원,경기도 수원시 장안구 조원동 912-2,경기도 수원시 장안구 조원동 912-2,37.307711,127.011307,3002,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제18호 소공원,소공원,경기도 수원시 권선구 삼천병마로1598번길 28-28,경기도 수원시 권선구 오목천동 314-85,37.245841,126.966211,174,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제28호 소공원,소공원,경기도 수원시 권선구 권선동 1367-14,경기도 수원시 권선구 권선동 1367-14,37.247521,127.026383,1104.8,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제29호 소공원,소공원,경기도 수원시 권선구 권선동 1367-26,경기도 수원시 권선구 권선동 1367-26,37.248903,127.020938,1030.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제69호 소공원,소공원,경기도 수원시 권선구 권선동 1352-65,경기도 수원시 권선구 권선동 1352-65,37.236439,127.023432,489,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제16호 소공원,소공원,경기도 수원시 팔달구 화서동 767,경기도 수원시 팔달구 화서동 767,37.283872,126.994443,1609,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제51호 소공원,소공원,경기도 수원시 권선구 서둔동 323-152,경기도 수원시 권선구 서둔동 323-152,37.264749,126.995197,1479.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
중앙,어린이공원,경기도 수원시 권선구 권선동 946,경기도 수원시 권선구 권선동 946,37.262401,127.022736,1499.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
어공9호(솔밭),어린이공원,경기도 수원시 권선구 권선동 1239,경기도 수원시 권선구 권선동 1239,37.253689,127.038329,1843.2,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
효정,어린이공원,경기도 수원시 권선구 권선동 1232,경기도 수원시 권선구 권선동 1232,37.255006,127.033366,2529.8,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
풀샘,어린이공원,경기도 수원시 영통구 매탄동 1283,경기도 수원시 영통구 매탄동 1283,37.255233,127.042316,1957,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
산샘,어린이공원,경기도 수원시 영통구 매원로11번길 8-16,경기도 수원시 영통구 매탄동 205-32,37.267146,127.048212,1940.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
교통,어린이공원,경기도 수원시 영통구 매탄동 1231-2,경기도 수원시 영통구 매탄동 1231-2,37.266303,127.057366,2530,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
솔빛,어린이공원,경기도 수원시 영통구 중부대로448번길 28,경기도 수원시 영통구 원천동 548,37.267138,127.058581,3230,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
해오름,어린이공원,경기도 수원시 영통구 영통로514번길 53,경기도 수원시 영통구 영통동 948-4,37.264912,127.081329,3824.7,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
미로,어린이공원,경기도 수원시 영통구 청명북로 118,경기도 수원시 영통구 영통동 955-3,37.261858,127.078128,4969.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
달님,어린이공원,경기도 수원시 영통구 영통동 1052-4,경기도 수원시 영통구 영통동 1052-4,37.262873,127.084262,4865.2,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
푸른,어린이공원,경기도 수원시 영통구 영통로 438,경기도 수원시 영통구 영통동 957-2,37.259049,127.073951,5019.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
수정,어린이공원,경기도 수원시 영통구 청명로59번길 7-16,경기도 수원시 영통구 영통동 1031,37.251757,127.080084,2641.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
으뜸,어린이공원,경기도 수원시 영통구 매영로 421-7,경기도 수원시 영통구 영통동 1017,37.249111,127.077479,2087.9,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
솔찬,어린이공원,경기도 수원시 영통구 영통동 964-3,경기도 수원시 영통구 영통동 964-3,37.252967,127.064814,4968.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
박지성,어린이공원,경기도 수원시 영통구 봉영로1517번길 40,경기도 수원시 영통구 영통동 967-4,37.249899,127.066096,6968.8,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
샘말,어린이공원,경기도 수원시 영통구 망포동 296-17,경기도 수원시 영통구 망포동 296-17,37.241944,127.053579,1975,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
양지말,어린이공원,경기도 수원시 팔달구 화서2동 702,경기도 수원시 팔달구 화서2동 702,37.285955,126.984731,3000.4,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
숙지,어린이공원,경기도 수원시 팔달구 화서2동 654,경기도 수원시 팔달구 화서2동 654,37.283378,126.992531,2017.2,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제167호,어린이공원,경기도 수원시 팔달구 화서2동 744,경기도 수원시 팔달구 화서2동 744,37.288868,126.999071,1670.7,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제12호,어린이공원,경기도 수원시 팔달구 세지로399번길 46,경기도 수원시 팔달구 우만동 487,37.287167,127.027868,3959.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
작은새,어린이공원,경기도 수원시 팔달구 우만1동 301-2,경기도 수원시 팔달구 우만1동 301-2,37.292369,127.035877,2772.8,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
솔밭산,어린이공원,경기도 수원시 팔달구 우만2동 72-1,경기도 수원시 팔달구 우만2동 72-1,37.277676,127.043452,3693,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
반달,어린이공원,경기도 수원시 팔달구 장다리로219번길 16,경기도 수원시 팔달구 인계동 973,37.269673,127.024921,4665.5,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
드라마센터,어린이공원,경기도 수원시 팔달구 인계동 948,경기도 수원시 팔달구 인계동 948,37.270191,127.029269,2639,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제18호,어린이공원,경기도 수원시 팔달구 인계동 944,경기도 수원시 팔달구 인계동 944,37.274656,127.030569,1512.9,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
장다리,어린이공원,경기도 수원시 팔달구 인계동 998,경기도 수원시 팔달구 인계동 998,37.265545,127.024001,1498.9,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제148호(그린나래),어린이공원,경기도 수원시 영통구 동탄원천로881번길 35,경기도 수원시 영통구 매탄동 1282,37.255011,127.041504,2135.6,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
탑동3호,어린이공원,경기도 수원시 권선구 탑동 855-9,경기도 수원시 권선구 탑동 855-9,37.270845,126.978051,1533.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
거북이,어린이공원,경기도 수원시 장안구 영화동 229-1,경기도 수원시 장안구 영화동 229-1,37.293062,127.014878,2113,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제181호(미래),어린이공원,경기도 수원시 영통구 망포동 713,경기도 수원시 영통구 망포동 713,37.240842,127.065412,2043,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
여기산,근린공원,경기도 수원시 권선구 여기산로26번길 30,경기도 수원시 권선구 서둔동 256,37.280811,126.979983,54972,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
교통,근린공원,경기도 수원시 영통구 덕영대로 1570,경기도 수원시 영통구 영통동 981-4,37.245396,127.062774,29677,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
권선중앙,근린공원,경기도 수원시 권선구 권선2동1269,경기도 수원시 권선구 권선2동 1269,37.251153,127.031015,26338,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
청명,근린공원,경기도 수원시 영통구 봉영로1770번길 21,경기도 수원시 영통구 영통동 1054-3,37.267419,127.083081,17438,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
성죽,근린공원,경기도 수원시 영통구 이의동 1213,경기도 수원시 영통구 이의동 1213,37.309474,127.047504,73874,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
광교중앙,근린공원,경기도 수원시 영통구 이의동 1302,경기도 수원시 영통구 이의동 1302,37.294078,127.060816,297841,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
텃밭,근린공원,경기도 수원시 영통구 원천동 596,경기도 수원시 영통구 원천동 596,37.273028,127.064051,48346,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
까치,어린이공원,경기도 수원시 권선구 당수동 292-1,경기도 수원시 권선구 당수동 292-1,37.292571,126.935811,4614,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
꿈이랑,어린이공원,경기도 수원시 권선구 권선동 1343,경기도 수원시 권선구 권선동 1343,37.242167,127.018037,8135.5,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
교동 제158호,어린이공원,경기도 수원시 팔달구 교동 45,경기도 수원시 팔달구 교동 45,37.271747,127.012064,1910,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
약수터,어린이공원,경기도 수원시 팔달구 화서1동 79-9,경기도 수원시 팔달구 화서1동 79-9,37.282885,127.003875,2135,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제76호,어린이공원,경기도 수원시 팔달구 화서2동 707,경기도 수원시 팔달구 화서2동 707,37.289519,126.982953,4442.7,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
매화,어린이공원,경기도 수원시 영통구 매탄동 1259,경기도 수원시 영통구 매탄동 1259,37.260195,127.046066,2025.7,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
마루터기,어린이공원,경기도 수원시 영통구 산남로4번길 27,경기도 수원시 영통구 매탄동 861,37.263856,127.048702,1815.6,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
먼내,어린이공원,경기도 수원시 영통구 동탄원천로1109번길 22,경기도 수원시 영통구 원천동 463-1,37.269579,127.057644,1523,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
보리수,어린이공원,경기도 수원시 영통구 봉영로1517번길 27,경기도 수원시 영통구 영통동 970-3,37.248141,127.067158,6947.2,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
미리내,어린이공원,경기도 수원시 영통구 영통동 987,경기도 수원시 영통구 영통동 987,37.245418,127.068612,1781.4,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
화서4호,어린이공원,경기도 수원시 팔달구 덕영대로735번길 18,경기도 수원시 팔달구 화서동 656,37.281356,126.992594,1500,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
당산,어린이공원,경기도 수원시 팔달구 세지로 436,경기도 수원시 팔달구 우만동 500,37.287069,127.032099,5379.9,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
명인,어린이공원,경기도 수원시 장안구 정자천로188번길 28,경기도 수원시 장안구 정자동 884-4,37.294969,126.995584,2000.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
두견,어린이공원,경기도 수원시 장안구 정자2동 887-2,경기도 수원시 장안구 정자2동 887-2,37.291502,126.997465,2000,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
동신,어린이공원,경기도 수원시 장안구 정자3동 880-1,경기도 수원시 장안구 정자3동 880-1,37.294832,126.990111,1600.2,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
일월7호,어린이공원,경기도 수원시 권선구 구운로45번길 34-7,경기도 수원시 권선구 구운동 966,37.277141,126.971888,2375,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
수련,어린이공원,경기도 수원시 영통구 망포동 708,경기도 수원시 영통구 망포동 708,37.242454,127.064498,1507.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
당암,어린이공원,경기도 수원시 영통구 망포동 719,경기도 수원시 영통구 망포동 719,37.243728,127.060829,1542.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
영복,어린이공원,경기도 수원시 장안구 영화동 396-13,경기도 수원시 장안구 영화동 396-13,37.289225,127.002752,204.7,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
다람쥐공원,어린이공원,경기도 수원시 영통구 이의동 1259-3,경기도 수원시 영통구 이의동 1259-3,37.299545,127.046176,1508.4,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
달래,어린이공원,경기도 수원시 영통구 봉영로1744번길 11,경기도 수원시 영통구 영통동 1053-2,37.266637,127.083053,4220.7,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
화서1호,어린이공원,경기도 수원시 팔달구 화서2동 645,경기도 수원시 팔달구 화서2동 645,37.285923,126.990997,1641.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
꽃뫼,어린이공원,경기도 수원시 장안구 정자2동 883-3,경기도 수원시 장안구 정자2동 883-3,37.292879,126.992097,3100.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
노을,어린이공원,경기도 수원시 장안구 수성로 181 (정자동),경기도 수원시 장안구 정자동 111,37.289365,126.992431,2531.4,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
전원,어린이공원,경기도 수원시 권선구 권선동 1059,경기도 수원시 권선구 권선동 1059,37.255394,127.022337,1490.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
어공6호,어린이공원,경기도 수원시 권선구 권선동 1275,경기도 수원시 권선구 권선동 1275,37.248656,127.030442,2856.9,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
청록,어린이공원,경기도 수원시 팔달구 경수대로616번길 32,경기도 수원시 팔달구 우만동 560,37.280916,127.032187,2275.4,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
미나리쉼터,어린이공원,경기도 수원시 팔달구 지동 340,경기도 수원시 팔달구 지동 340,37.277035,127.020614,1481,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
제44호(미래),어린이공원,경기도 수원시 영통구 매여울로10번길 14-20,경기도 수원시 영통구 매탄동 196-25,37.271684,127.047385,1507.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
문화,어린이공원,경기도 수원시 권선구 세지로12번길 45,경기도 수원시 권선구 세류동 1106,37.252655,127.017305,1487.8,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
온누리,어린이공원,경기도 수원시 영통구 망포동 523-1,경기도 수원시 영통구 망포동 523-1,37.238769,127.059446,887,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
망포,어린이공원,경기도 수원시 영통구 망포동 721,경기도 수원시 영통구 망포동 721,37.244743,127.055795,1932.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
소꿉놀이공원,어린이공원,경기도 수원시 영통구 하동 965-8,경기도 수원시 영통구 하동 965-8,37.293482,127.069689,2133.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
틴틴공원,어린이공원,경기도 수원시 영통구 이의동 1345,경기도 수원시 영통구 이의동 1345,37.289009,127.048501,2185.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
다산,근린공원,경기도 수원시 영통구 이의동 1328,경기도 수원시 영통구 이의동 1328,37.290614,127.054719,41912,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
번암가족,근린공원,경기도 수원시 영통구 하동 1002,경기도 수원시 영통구 하동 1002,37.296968,127.084995,116170,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
세일,어린이공원,경기도 수원시 장안구 이목로74번길 42,경기도 수원시 장안구 파장동 561,37.310013,126.990728,3172,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
송죽,어린이공원,경기도 수원시 장안구 정조로1088번길 6-6,경기도 수원시 장안구 송죽동 457,37.302228,127.003348,3592.4,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
창훈,어린이공원,경기도 수원시 장안구 월드컵로418번길 31,경기도 수원시 장안구 연무동 237-15,37.294379,127.027501,1630.4,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
조원,어린이공원,경기도 수원시 장안구 조원동 860,경기도 수원시 장안구 조원동 860,37.303701,127.017235,2500,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
바람,어린이공원,경기도 수원시 장안구 정자로41번길 12,경기도 수원시 장안구 천천동 482,37.301161,126.981976,1960.6,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
비단,어린이공원,경기도 수원시 장안구 천천동 529,경기도 수원시 장안구 천천동 529,37.297517,126.983384,2309.5,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
오목천,어린이공원,경기도 수원시 권선구 오목천 945,경기도 수원시 권선구 오목천동 945,37.242138,126.963606,4300.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
탑동1호,어린이공원,경기도 수원시 권선구 탑동 764,경기도 수원시 권선구 탑동 764,37.273623,126.975326,1591.3,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
일월5호,어린이공원,경기도 수원시 권선구 구운로73번길 10-14,경기도 수원시 권선구 구운동 941-1,37.280679,126.972302,2143,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
밤밭,근린공원,경기도 수원시 장안구 천천동 575,경기도 수원시 장안구 천천동 575,37.300705,126.975431,10465,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
대평,어린이공원,경기도 수원시 장안구 만석로68번길 10,경기도 수원시 장안구 정자동 870-1,37.296746,126.988921,3000.1,,,,,,,경기도 수원시 공원녹지사업소,031-228-4282,2018-07-31
