연번,업종,상호,시설주소(도로명),시설전화번호
549,당구장업,상아당구장,"경기도 부천시 장말로 279, 3층 (심곡동)",
550,당구장업,스타당구클럽,"경기도 부천시 부천로10번길 13, 3층 (심곡동)",
551,당구장업,T.B.N 당구장,"경기도 부천시 부흥로402번길 36, 3층 (심곡동)",
552,당구장업,Della Billiards Club,"경기도 부천시 부일로 462-1, 3층 (심곡동)",
553,당구장업,스카이당구장,"경기도 부천시 부흥로 384-1, 4층호 (심곡동)",
554,당구장업,킹당구장,"경기도 부천시 부일로 433, 2층 (심곡동)",
555,당구장업,WOW당구장,"경기도 부천시 부천로39번길 17, 3층 (심곡동, 심곡빌딩)",
556,당구장업,제이앤제이 볼링센터&락당구장,"경기도 부천시 부천로 11, 4층 (심곡동, 해태쇼핑)",
557,당구장업,바나나 당구클럽,"경기도 부천시 장말로 374, 2층 (심곡동, 한영빌딩)",
558,당구장업,대성당구장,"경기도 부천시 신흥로67번길 54, 지하1층 (심곡동)",
559,당구장업,엔틱당구클럽,"경기도 부천시 부일로 482-1, 4층 (심곡동)",
560,당구장업,아우디당구장,"경기도 부천시 부일로449번길 28, 6층  호 (심곡동)",
561,당구장업,대박당구장,"경기도 부천시 심중로 54, 2층 (심곡동)",
562,당구장업,대학당구장,"경기도 부천시 부일로445번길 45, 2층 (심곡동)",
563,당구장업,대성당구장,"경기도 부천시 부천로85번길 19, 동양빌딩 3층 (심곡동)",
564,무도학원업,퀸 댄스,경기도 부천시 신흥로 32 (심곡동),
565,체육도장업,해동청체육관,경기도 부천시 원종로29번길 83  (원종동),
566,체육도장업,용인대 일출 태권도장,"경기도 부천시 성오로 127 (원종동,3층)",032-681-7722
567,체육도장업,팀 태권도&스포츠,"경기도 부천시 중동로 417 (삼정동,401호)",
568,체육도장업,경희대석사백마체육관,"경기도 부천시 고강로40번길 58  (원종동,3층)",032-683-5351
569,체육도장업,경희대위너태권도장,"경기도 부천시 성오로124번길 47, 210호 (원종동)",
570,체육도장업,한국체대 비전태권도,경기도 부천시 원종로 7  (원종동),032-671-5758
571,체육도장업,충호태권도장,"경기도 부천시 부천로476번길 64, 2층 (오정동)",
572,체육도장업,부천명문태권도,경기도 부천시 중동로 433 (삼정동),032-651-7239
573,체육도장업,경희대석사 샛별태권도,"경기도 부천시 오정로 247, 302호 (오정동, 썬프라자)",032-678-2234
574,체육도장업,CH복싱&크로스핏,경기도 부천시 원종로 30 (원종동),
575,체육도장업,새나라태권도장,"경기도 부천시 소사로794번길 27 (원종동,3층)",032-682-7353
576,체육도장업,한울효 태권도장,"경기도 부천시 성오로117번길 14, 3층 (원종동)",
577,체육도장업,용인대 준 태권도장,경기도 부천시 부천로410번길 27 (내동),
578,체육도장업,용인대신학유도관,"경기도 부천시 원종로9번길 59, 3층 (원종동)",
579,체육도장업,인하코리아태권도장,경기도 부천시 부천로464번길 43 (오정동),032-673-4477
580,체육도장업,행복한 동행 삼성태권도장,"경기도 부천시 오정로252번길 44-6, 2층 (오정동)",
581,체육도장업,경희대정훈태권도,"경기도 부천시 오정로 250, 401호 (오정동, 신오빌딩)",032-677-1484
582,체육도장업,용인대 TOP 복싱,"경기도 부천시 소사로 745, 3층 (원종동, 장우빌딩)",032-219-7989
583,체육도장업,부천 라온태권도,"경기도 부천시 수도로 65, 2층 (삼정동)",032-674-2106
584,체육도장업,파인태권도장,"경기도 부천시 소사로862번길 89, 2층 (원종동)",032-678-6781
585,체육도장업,C.M. 복싱,"경기도 부천시 오정로 209-4, 5층 (오정동)",032-682-8872
586,체육도장업,힘찬태권도장,"경기도 부천시 평천로721번길 21, 2층 (삼정동)",032-675-9793
587,골프연습장업,동성골프실내연습장,경기도 부천시 소사로 751 (원종동),032-671-1923
588,골프연습장업,선라이즈 골프클럽,경기도 부천시 석천로442번길 56  (삼정동),032-679-7171
589,골프연습장업,골프 팩트,"경기도 부천시 소사로 758 (원종동,한성빌딩 지하 1층)",032-677-3364
590,골프연습장업,삼정스크린골프연습장,"경기도 부천시 석천로 446, 2층 (삼정동) ",032-674-7842
591,골프연습장업,프렌즈 스크린골프 아카데미,경기도 부천시 소사로 772 (원종동),
592,골프연습장업,황금스크린골프,"경기도 부천시 오정로 249, 4층 (오정동, 오정프라자)",
593,골프연습장업,S스크린골프연습장,경기도 부천시 성지로101번길 38 (원종동),032-682-0038
594,골프연습장업,스크린골프오후,"경기도 부천시 산업로120번길 4, 202호 (오정동, Ohoocompany)",032-675-0009
595,골프연습장업,썬라이즈스크린골프,"경기도 부천시 석천로442번길 56, 4층 (삼정동)",032-674-0100
596,골프연습장업,피플스크린골프존,"경기도 부천시 수도로 93, 3층 (내동)",032-2614-6707
597,골프연습장업,럭키 스크린 골프존,"경기도 부천시 신흥로 361-10, 3층 (내동, 럭키빌딩)",032-323-4584
598,골프연습장업,골프존파크 쌍용스크린,"경기도 부천시 석천로 397, 부천테크노파크쌍용3차 302동 비08호 (삼정동)",
599,체력단련장업,월드헬스클럽,경기도 부천시 소사로 745 (원종동),032-682-5508
600,체력단련장업,오정헬스클럽,경기도 부천시 오정로 254 (오정동),032-684-9228
601,체력단련장업,신나라헬스,"경기도 부천시 원종로 64  (원종동,4층)",032-679-6200
602,체력단련장업,일죽스포렉스,"경기도 부천시 소사로 802-1 (원종동,성운빌딩 5층)",032-673-8530
603,체력단련장업,펌프휘트니스,"경기도 부천시 삼작로 22  (삼정동,부천테크노파크1단지 관리동 3층)",
604,체력단련장업,라이프휘트니스,경기도 부천시 원종로 7 (원종동),032-684-2346
605,체력단련장업,M new GYM,"경기도 부천시 성지로 111-1 (원종동,근상오피스(2,3층))",032-654-7395
606,체력단련장업,부천신흥시장점 스포애니 주)케이디스포츠,"경기도 부천시 중동로 406, 4층 (삼정동)",
607,체력단련장업,헬스클럽 천용회관,"경기도 부천시 소사로 851 (원종동,3층)",032-672-5988
608,체력단련장업,세화스쿼시,"경기도 부천시 소사로 783, 지하2층 (원종동)",032-683-6750
609,체력단련장업,빠짐플러스,"경기도 부천시 오정로 249, 2층 208호 (오정동, 오정프라자)",
610,체력단련장업,우먼아이엔지짐,"경기도 부천시 소사로 754, 5층 (원종동)",032-673-1980
611,체력단련장업,바디앤댄스,"경기도 부천시 소사로775번길 11, 2층 (원종동)",
612,체력단련장업,피타짐,"경기도 부천시 오정로 226-1, 3,4,5층 (오정동)",
613,체력단련장업,K2,경기도 부천시 신흥로 377(내동) ,032-677-2683
614,당구장업,공원당구장,"경기도 부천시 오정로212번길 11, 2층 (오정동)",
615,당구장업,웰컴당구장,경기도 부천시 삼작로96번길 21  (내동),032-677-4545
616,당구장업,오성당구장,경기도 부천시 삼작로 183-1  (내동),032-683-5370
617,당구장업,대호당구장,경기도 부천시 삼작로 194  (내동),032-684-6195
618,당구장업,큐당구장,경기도 부천시 신흥로413번길 62  (삼정동),
619,당구장업,유원당구장,경기도 부천시 삼작로 231  (내동),032-684-4399
620,당구장업,동해당구장,경기도 부천시 상오정로 21 (오정동),032-678-5131
621,당구장업,SBS당구클럽,경기도 부천시 중동로 406  (삼정동),032-681-3271
622,당구장업,늘당구장,"경기도 부천시 소사로 837  (원종동,지층)",032-675-7402
623,당구장업,찜당구장,경기도 부천시 중동로 407  (삼정동),032-673-1150
624,당구장업,서울당구장,경기도 부천시 평천로751번길 52 (내동),032-673-3290
625,당구장업,일번지당구장,경기도 부천시 성지로101번길 38  (원종동),032-679-6968
626,당구장업,맨하탄 당구장,경기도 부천시 신흥로401번길 22 (내동),032-679-3413
627,당구장업,베스트 당구장,"경기도 부천시 평천로 725 (삼정동,3층)",032-672-7312
628,당구장업,김치당구클럽,"경기도 부천시 소사로 779, 601,602호 (원종동,6층)",032-679-4848
629,당구장업,태양당구장,경기도 부천시 석천로 346 (삼정동),032-683-3268
630,당구장업,귀빈당구장,경기도 부천시 부천로 395  (내동),
631,당구장업,제일당구장,"경기도 부천시 성지로 111-1  (원종동,5층 502호)",032-671-0270
632,당구장업,신흥당구장,"경기도 부천시 평천로 718  (삼정동,3층)",032-672-2235
633,당구장업,007당구클럽,"경기도 부천시 중동로 417, 3층 (삼정동)",032-683-9007
634,당구장업,공때려 당구장,"경기도 부천시 소사로 748  (원종동,4층)",
635,당구장업,LA 당구장,"경기도 부천시 성지로101번길 21,  203호 (원종동,태산상가)",
636,당구장업,궁당구마을,"경기도 부천시 상오정로 21-1, 3층 (오정동)",
637,당구장업,OK당구장,"경기도 부천시 석천로 397 (삼정동, 부천테크노파크쌍용3차)",032-624-0179
638,당구장업,한게임당구장,경기도 부천시 오정로212번길 13 (오정동),032-676-3347
639,당구장업,프로당구장,경기도 부천시 오정로 209-4 (오정동),032-676-3949
640,당구장업,진당구클럽,경기도 부천시 소사로747번길 11  (원종동),032-673-0342
641,당구장업,오거리 떼굴떼굴 당구장,"경기도 부천시 수도로 73 (삼정동,3층)",
642,당구장업,H.당구클럽,"경기도 부천시 수도로 137 (내동, 성림빌딩)",032-681-5460
643,당구장업,미키당구장,"경기도 부천시 소사로775번길 25  (원종동,2층 201, 202호)",
644,당구장업,로얄당구클럽,"경기도 부천시 소사로793번길 22  (원종동,3층)",
645,당구장업,스타당구장,"경기도 부천시 소사로808번길 9  (원종동,3층)",032-676-3533
646,당구장업,JJ당구장,"경기도 부천시 중동로 409 (삼정동,3층)",
647,당구장업,포인트 당구클럽,"경기도 부천시 석천로 345 (삼정동, 부천테크노파크)",032-321-2473
648,당구장업,K-2 당구장,"경기도 부천시 수도로 119, 3층 (내동)",
649,당구장업,큐당구장,"경기도 부천시 성오로 117  (원종동,지하1층)",
650,당구장업,오거리당구장,"경기도 부천시 오정로220번길 35, 3층 (오정동)",
651,당구장업,정당구 아카데미,"경기도 부천시 오정로 249, 2층 204호 (오정동)",
652,당구장업,Q당구클럽,"경기도 부천시 원종로 40, 3,4층 (원종동)",032-322-4334
653,당구장업,TOP당구클럽,"경기도 부천시 소사로 758, 5층 (원종동, 한성빌딩)",
654,당구장업,오토파크 당구장,"경기도 부천시 오정로 170, 2층 (내동, 부천자동차 매매단지)",
655,당구장업,OBS 당구장,"경기도 부천시 부천로476번가길 76, 3층 (오정동, 오정빌딩)",
656,당구장업,메인 당구클럽,"경기도 부천시 원종로 37, 3층 (원종동)",
657,당구장업,명품 당구클럽,"경기도 부천시 중동로 413, 2층 (삼정동)",032-217-1367
658,당구장업,SKY당구클럽,"경기도 부천시 삼작로 205, 3층 (내동)",032-672-3949
659,당구장업,원종당구클럽,"경기도 부천시 소사로 812, 2층 (원종동, 대우,삼성빌딩)",
660,당구장업,명성당구클럽,"경기도 부천시 평천로738번길 5, 2층 (삼정동, 세림빌딩)",032-676-8447
661,당구장업,비바체 당구클럽,"경기도 부천시 중동로 410, 3층 (삼정동)",
662,당구장업,동호당구장,"경기도 부천시 소사로776번길 13, 2층 (원종동)",
663,당구장업,세븐당구장,"경기도 부천시 삼작로 221, 2층 (내동)",
664,당구장업,후로꾸 당구클럽,경기도 부천시 오정로244번길 12 (오정동),032-677-8746
665,무도학원업,원종무도학원,"경기도 부천시 원종로 64, 801호 (원종동, 부천프라자)",
666,체육도장업,용인대유도체육관,"경기도 부천시 중동로171번길 34, 현진빌딩 지하1층 (중동)",032-653-8270
667,체육도장업,경희 팰리스 태권도,"경기도 부천시 장말로216번길 3, 팰리스카운티 푸르지오상가 306,307호 (중동)",
668,체육도장업,피에스(PS)복싱클럽,"경기도 부천시 석천로2번길 83, 4층 (상동)",
669,체육도장업,연세대미래태권도장,"경기도 부천시 장말로 142, 1층 (상동)",032-321-7911
670,체육도장업,중동 힘찬 태권도장,"경기도 부천시 중동로 100, 214호 (중동, 아이파크상가)",032-667-8080
671,체육도장업,진(JIN)복싱다이어트,"경기도 부천시 부흥로 224, 5층 (중동, 신한은행)",
672,체육도장업,한국체대 상일태권스쿨,"경기도 부천시 장말로 188, 3층 (상동)",032-663-1108
673,체육도장업,한국체대 길 태권도장,"경기도 부천시 중동로 108-2, 팰리스카운티 중앙상가 204,205,210호 (중동)",
674,체육도장업,초석검도관,"경기도 부천시 부흥로 216, 2층 (중동)",
675,골프연습장업,탑골프아카데미,"경기도 부천시 상일로 126, 1001~1003호 (상동, 뉴법조타운)",
676,골프연습장업,투나 스크린골프,"경기도 부천시 부일로 223, 지하2층 101호 (상동, 투나)",032-622-7253
677,골프연습장업,투나 골프존 아카데미,"경기도 부천시 부일로 223, 투나 지하2층 02(일부)호 (상동)",
678,골프연습장업,킹콩스크린골프,"경기도 부천시 석천로 94, 3,4층 (중동, 경동빌딩)",
679,골프연습장업,GDR아카데미 부천 상동점,"경기도 부천시 부일로 223, 투나쇼핑센타 지하2층 02(일부)호 (상동)",
680,체력단련장업,고짐(GO GYM),"경기도 부천시 중동로 153, 6층 (중동)",032-662-6637
681,체력단련장업,쏘마휘트니스,"경기도 부천시 부일로 223, 지하1층 (상동, 투나쇼핑센타)",
682,체력단련장업,아이엠짐,"경기도 부천시 석천로38번길 5, 한성빌딩 5층 (상동)",
683,체력단련장업,바나나짐,"경기도 부천시 부흥로 203, 4층 (중동, 세화빌딩)",
684,체력단련장업,뉴바디 여성전용휘트니스,"경기도 부천시 부일로 224-14, 그랜드코아빌딩 701호 (상동)",
685,체력단련장업,스포애니상동점,"경기도 부천시 부일로 293, 지하1층 (상동, 씨케이타워)",
686,체력단련장업,크로스핏 거츠,"경기도 부천시 부일로 226 (상동, 대명그린프라자)",032-321-3346
687,체력단련장업,레이디짐,"경기도 부천시 장말로216번길 3, 304호 (중동, 팰리스카운티 푸르지오상가)",032-613-8896
688,체력단련장업,PT하기 좋은날,"경기도 부천시 부일로 222, 유은빌딩 4층 501호 (상동)",
689,당구장업,부천당구장,경기도 부천시 심중로 105 (중동),
690,당구장업,구슬치기 당구클럽,"경기도 부천시 부흥로 200, 2층 (중동)",
691,당구장업,솔안당구장,"경기도 부천시 송내대로74번길 34, 302호 (상동)",
692,당구장업,CC당구클럽,경기도 부천시 석천로38번길 6 (상동),
693,당구장업,매니아 빌리아드클럽,"경기도 부천시 상일로122번길 15, 3층 (상동)",
694,당구장업,미진당구장,"경기도 부천시 부흥로 196, 2층 (중동)",
695,당구장업,SBS당구클럽,"경기도 부천시 부흥로 205, 2층 (중동)",
696,당구장업,B.B.C당구장,"경기도 부천시 부일로 300, 2층 (상동)",
697,당구장업,준 당구장,"경기도 부천시 부일로221번길 26, 201호 (상동, 삼원타운)",
698,당구장업,OK당구장,"경기도 부천시 상일로122번길 39, 3층 (상동)",
699,당구장업,제일당구장,"경기도 부천시 중동로 155, 5층 (중동, 태양프라자)",
700,당구장업,벨기에당구클럽,"경기도 부천시 부흥로 184, 지1층호 (중동, 태산빌딩)",032-668-7779
701,당구장업,세븐당구장,"경기도 부천시 장말로 176, 3 층호 (상동)",
702,당구장업,JK당구클럽,"경기도 부천시 부일로233번길 21, 3층 (상동, 삼우빌딩)",
703,당구장업,마징가 당구클럽,"경기도 부천시 중동로 153, 4층 (중동)",
704,무도학원업,뷰티댄스스포츠아카데미,"경기도 부천시 상일로122번길 19, 3(일부)층 (상동)",
705,수영장업,이노스베이프리미엄 어린이 레슨전문 수영장,"경기도 부천시 은성로 82, 상가동 지1층 (소사본동, 한신아파트)",
706,체육도장업,소사체육관(태권),경기도 부천시 소사로170번길 62 (소사본동),
707,체육도장업,한양대 왕호 태권도장,경기도 부천시 소사로201번길 54 (소사본동),
708,체육도장업,봉황태권도장,경기도 부천시 은성로 57 (소사본동),
709,체육도장업,용인대 황룡 태권도장,경기도 부천시 호현로 463 (소사본동),
710,체육도장업,참태권도체육관,"경기도 부천시 소삼로 62 (소사본동, 소사에스케이뷰아파트)",
711,체육도장업,올림픽 태권도장,경기도 부천시 소사로102번길 59 (소사본동),
712,체육도장업,강산권투체육관,경기도 부천시 소사로 250 (소사본동),
713,체육도장업,피닉스 태권도장,경기도 부천시 소사동로72번길 17 (소사본동),
714,체육도장업,MTA태권도장,경기도 부천시 은성로 88-1 (소사본동),
715,체육도장업,M복싱클럽,경기도 부천시 은성로98번길 64 (소사본동),
716,체육도장업,연세대 튼튼 태권도장,경기도 부천시 소사동로 78 (소사본동),
717,체육도장업,경희대 전진 태권도장,경기도 부천시 소사로170번길 45 (소사본동),
718,체육도장업,대호룡태권도장,경기도 부천시 호현로 454 (소사본동),
719,체육도장업,마스터K 태권도장,"경기도 부천시 소안로 10 (소사본동, 동문밀리언상가)",
720,체육도장업,경희대 석사 올림픽 태권도장,"경기도 부천시 소사동로72번길 17, 5층 504호 (소사본동, 아크리아Ⅲ)",
721,골프연습장업,무지개(실외),경기도 부천시 호현로 383 (소사본동),
722,골프연습장업,뉴스타골프연습장,경기도 부천시 은성로98번길 64 (소사본동),
723,골프연습장업,유성골프연습장,"경기도 부천시 소사동로 78, 702.703호 (소사본동)",
724,골프연습장업,K2골프존,경기도 부천시 은성로 91 (소사본동),
725,골프연습장업,유성골프연습장,"경기도 부천시 소사동로 78, 701호 (소사본동)",
726,골프연습장업,제이골프아카데미,"경기도 부천시 소사로 119, 6층 (소사본동)",
727,체력단련장업,대성헬스,경기도 부천시 호현로 495 (소사본동),
728,체력단련장업,K2휘트니스,경기도 부천시 은성로 91 (소사본동),
729,체력단련장업,플레이,"경기도 부천시 소사동로 82 (소사본동, 센트럴프라자)",
730,체력단련장업,여성전용 이루어짐,"경기도 부천시 소사로 202, 4층 (소사본동, 성산빌딩)",
731,체력단련장업,동네 헬스장,"경기도 부천시 소사로 124, 3층 (소사본동)",
732,체력단련장업,내추럴Gym,"경기도 부천시 은성로 66, 3층 (소사본동)",
733,체력단련장업,그레이트짐,"경기도 부천시 경인옛로 3, 소사메디파크 4층 (소사본동)",
734,체력단련장업,Peach Fit,"경기도 부천시 은성로1번길 12, b02호 (소사본동)",
735,당구장업,한신당구장,경기도 부천시 은성로 72 (소사본동),
736,당구장업,VIP당구마을,경기도 부천시 소사로159번길 9 (소사본동),
737,당구장업,보경당구장,경기도 부천시 소삼로 20 (소사본동),
738,당구장업,갤럭시당구장,경기도 부천시 소사로 220 (소사본동),
739,당구장업,미소당구클럽,경기도 부천시 소사로 205 (소사본동),
740,당구장업,소사당구클럽,경기도 부천시 소사로 240 (소사본동),
741,당구장업,제이당구클럽,경기도 부천시 소사로159번길 6 (소사본동),
742,당구장업,세종당구장,경기도 부천시 호현로 489 (소사본동),
743,당구장업,오영당구클럽,"경기도 부천시 은성로 66, 3층 (소사본동)",
744,당구장업,새소울 당구장,"경기도 부천시 소사로 136, 3층 (소사본동)",
745,당구장업,거시기 당구장,"경기도 부천시 소삼로 6, 2층 (소사본동)",
746,당구장업,포켓볼당구장,"경기도 부천시 경인옛로22번길 18, 3층 (소사본동)",
747,당구장업,명도당구장,"경기도 부천시 은성로 40, 2층 (소사본동)",
748,수영장업,고강BK스포츠센터,"경기도 부천시 고리울로51번길 34, 고강빌딩 (고강동)",032-218-7654
749,수영장업,파라디스포츠,경기도 부천시 고리울로 9 (고강동),032-677-1177
750,체육도장업,가온키즈펀 태권도,"경기도 부천시 삼작로 385, 3층 (원종동)",032-672-4381
751,체육도장업,태권도필승도장,경기도 부천시 삼작로396번길 18-1 (원종동),
752,체육도장업,나래태권도장,경기도 부천시 성오로 32 (원종동),
753,체육도장업,금메달 체육관,경기도 부천시 고리울로51번길 7 (고강동),032-679-9507
754,체육도장업,정우태권도체육관,경기도 부천시 고리울로 9 (고강동),032-676-0273
755,체육도장업,원종검도관,"경기도 부천시 성곡로 65, 4층 (여월동)",
756,체육도장업,용인대 고강 태권도장,"경기도 부천시 고강로154번길 46, 상구빌딩 (고강동)",032-681-0083
757,체육도장업,수주태권도체육관,"경기도 부천시 성지로102번길 33, 수주태권도 (고강동)",
758,체육도장업,부부 우리 태권도장,"경기도 부천시 고강로72번길 49, 조광프라자 (고강동)",
759,체육도장업,태비 바른아이 태권도장,"경기도 부천시 성곡로 65, 301호 (여월동)",
760,체육도장업,예전태권도,경기도 부천시 고리울로 92 (고강동),
761,체육도장업,금홍복싱클럽,"경기도 부천시 역곡로472번길 12, 동림빌딩 (고강동)",
762,체육도장업,한국체대천지태권도(HSTM),"경기도 부천시 삼작로410번길 4, 2층 (원종동)",
763,체육도장업,쌍호태권도장,"경기도 부천시 역곡로482번길 25, 부강빌딩 (고강동)",
764,체육도장업,경희석사 백호태권도,"경기도 부천시 여월로 72, 501호 (여월동)",032-675-2117
765,체육도장업,용인대 고강 유도 체육관,"경기도 부천시 고리울로8번길 10, 3층 (고강동, 태성빌딩)",
766,체육도장업,행복한 동행 정진태권도장,"경기도 부천시 역곡로482번길 47, 3층 (고강동)",032-681-2727
767,체육도장업,경희대 한결 태권도장,"경기도 부천시 고리울로52번길 29, 203호 (고강동, DH(주상복합)빌딩)",
768,체육도장업,용인대 준 태권도,"경기도 부천시 여월로 70, 두오파크프라자 206호 (여월동)",0323-674-0234
769,골프연습장업,GJS스크린골프,"경기도 부천시 소사로 664, GJS빌딩 3층 (여월동)",032-682-4849
770,골프연습장업,SG 제이티 스크린골프,"경기도 부천시 여월로 72 (여월동, 여월프라자)",070-7757-0753
771,골프연습장업,필스크린골프,경기도 부천시 까치로 93 (작동),032-675-0158
772,체력단련장업,ARA 스포츠,"경기도 부천시 원종로 119, 한은빌딩 (고강동)",032-675-2767
773,체력단련장업,바디와이짐,경기도 부천시 고리울로40번길 13-13 (고강동),
774,체력단련장업,아이엔지 짐(ING GYM),"경기도 부천시 소사로 709, 6층 (원종동)",032-677-2990
775,체력단련장업,S휘트니스클럽,"경기도 부천시 역곡로 488 (고강동, 한동빌딩)",032-681-0809
776,체력단련장업,새싹피티,"경기도 부천시 까치로 86, 3층 (작동)",032-684-6604
777,체력단련장업,엔조이 짐,"경기도 부천시 역곡로482번길 22, 용일빌딩 (고강동)",
778,체력단련장업,허슬핏,"경기도 부천시 수도로 286, 3층 (여월동)",
779,체력단련장업,BCD PT,"경기도 부천시 역곡로504번길 11, 2층 (고강동)",
780,당구장업,JJ당구장,"경기도 부천시 고리울로8번길 21, 연암빌딩 (고강동)",032-679-7653
781,당구장업,뉴비바체당구클럽,경기도 부천시 고리울로51번길 30 (고강동),
782,당구장업,특급당구장,"경기도 부천시 원종로 111, 부강빌딩 (고강동)",032-677-9401
783,당구장업,대한당구장,경기도 부천시 삼작로 406 (원종동),032-677-2008
784,당구장업,스킬당구장,"경기도 부천시 소사로 719, 관우프라자 (원종동)",
785,당구장업,킹당구장,경기도 부천시 고리울로51번길 20 (고강동),
786,당구장업,무지개당구장,경기도 부천시 고리울로52번길 49 (고강동),
787,당구장업,럭키당구클럽,경기도 부천시 역곡로490번길 5 (고강동),070-7547-1858
788,당구장업,SBS당구클럽,"경기도 부천시 역곡로 487, 백학빌딩 (고강동)",
789,당구장업,해피당구클럽,경기도 부천시 소사로 706 (원종동),
790,당구장업,원당구장,경기도 부천시 삼작로395번길 5 (원종동),032-674-2020
791,당구장업,포인트당구장,"경기도 부천시 역곡로 483, 대영프라자약국 (고강동)",
792,당구장업,멤버당구장,"경기도 부천시 삼작로 324, 2층 (여월동)",032-678-6138
793,당구장업,쿨당구장,"경기도 부천시 역곡로482번길 19, 3층 (고강동)",
794,당구장업,원피스당구클럽,"경기도 부천시 지양로152번길 13, 3층 (고강동)",032-207-6110
795,당구장업,드림당구클럽,"경기도 부천시 역곡로 480, 지층 (고강동)",070-8777-3949
796,당구장업,따봉당구장,"경기도 부천시 삼작로306번길 6, 지층 (여월동)",
797,당구장업,까리뇨 캐롬 클럽,경기도 부천시 소사로 712 (원종동),
798,당구장업,OK당구클럽,경기도 부천시 까치로 104 (작동),
799,당구장업,작대기 당구장,경기도 부천시 까치로 93 (작동),
800,당구장업,행운 당구장,경기도 부천시 성곡로 69 (여월동),
801,당구장업,에이스당구클럽,"경기도 부천시 소사로 709, 203호 (원종동, 그린메디칼프라자)",
802,당구장업,길 당구클럽,"경기도 부천시 성곡로 96, B1호 (여월동)",
803,당구장업,트윈스 당구클럽,"경기도 부천시 고리울로 9, 2층 203호 (고강동)",
804,당구장업,ABC당구클럽,"경기도 부천시 소사로 719, 관우프라자 6층 601호 (원종동)",
805,당구장업,MC당구클럽,"경기도 부천시 고강로72번길 49, 조광프라자 5층 (고강동)",
806,승마장업,부천승마장,경기도 부천시 원미로281번길 86 (여월동),
